Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time
09:52:44:6356,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:7271,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:8081,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:8897,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:9865,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:0827,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:1639,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:2449,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:3261,720,,-2.3,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:4078,720,,-2.3,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:5294,720,,-2.3,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:6114,720,,-2.3,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:6923,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:7733,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:8545,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:45:9357,760,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:0579,760,,-2.3,104.5,104.5,2.0,,2.4,2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:1390,760,,-2.3,104.5,104.5,2.0,,2.4,2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:2205,760,,-2.3,104.5,104.5,2.0,,2.4,2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:3018,720,,-2.3,104.5,104.5,2.0,,2.4,2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:3828,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:4641,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:5810,720,,-2.3,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:6775,720,,-2.7,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:7589,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:46:8399,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
